Name, Repository, Date, Message, Hash
dusty-gutzmann,server-load-testing,2019-06-10T14:13:15Z,Rename merchant_activity_window_analyzer to mawa,1d19979a44b2f8a4b6fc019c438942cfe1c8d1b3
dusty-gutzmann,agreement,2020-09-11T01:34:11Z,Switching to rundeck (#16),3714a0cf8e456a7d88748b34d2fbf85e4f1d2fde
dusty-gutzmann,clover-serverkit,2020-09-15T00:09:49Z,Adding Approver,e54e107c1213aaff20fb7ce12ba87fd9c01703a1
dusty-gutzmann,owasp-suppressions,2020-09-15T20:37:58Z,Initial commit,e24a6abc896bd2917011d14085463ae858997a94
dusty-gutzmann,server,2019-06-10T14:13:15Z,Rename merchant_activity_window_analyzer to mawa,1d19979a44b2f8a4b6fc019c438942cfe1c8d1b3
madhuri,clover-device-server,2016-12-16T00:33:01Z,Updating lib versions to next Snapshot,0a6964ef13506a50e03e567de76bf8c060abf6d1
madhuri,cashadvance,2017-04-06T20:39:31Z,Updating lib versions to next Snapshot,5ee66e4e5887a4f93055311634ef7c0e26ec518f
madhuri,alipay,2017-11-03T07:06:17Z,Updating lib versions to next Snapshot,100ab939be224c41968063584934ddfe34ee3cff
madhuri,fiscal-printer-ar,2019-04-20T18:13:52Z,Updating lib versions to next Snapshot,4e8af594c7f46abe37eeff780d434f54bf510a69
madhuri,WifiCertificateInstaller,2019-04-20T18:13:52Z,Updating lib versions to next Snapshot,37c0daf5201eeb2480d12da855623b1afb67d01f
madhuri,epson-printer,2019-08-24T22:29:24Z,Updating lib versions to next Snapshot,fabf95f48eb43e1c903aa7373948fb8c7e456559
madhuri,clover-sales-demo,2020-01-09T07:49:25Z,Updating lib versions to next Snapshot,8d199533af9dcb983f24641c1b75da9544b24802
madhuri,secure-payments,2015-09-15T23:19:34Z,Update build.gradle,42bb3171aa78bb1ea780e31d39ceef27cbe5e4fa
madhuri,remote-pay,2015-05-30T00:18:55Z,Merge develop to release,a3c8d52e35f79d36ad1029b472bd1d5d0c605d3d
madhuri,server,2015-02-12T04:35:55Z,Merge pull request #1926 from kristalinc/release,94c0513a3b1b3f4aba533b467d62985c30215dc9
aaron,OpenAM,2020-09-26T17:48:00Z,Porting Clover patches over from 6.5.2.1,3c58a9394291e1387d7f50948fce8e91abae4580
pete-cleary,deploy-env-assets,2019-11-05T16:26:09Z,Initial commit,64c57b2b5c29351b4a82eda16caee2b0fddb4724
pete-cleary,jenkins-dsl-libs,2020-01-21T04:51:44Z,Added Groovy Github client,af0b6ef7593528d784c19a63881d37b06415d043
pete-cleary,devrel-app-status-service,2019-12-23T16:41:06Z,Created Jenkinsfile,a4aa02f6f9aeafd8e4f8a54d0c07eb1cf6aa0b38
pete-cleary,springboot-test,2020-01-17T16:29:38Z,Initial commit,96d2d380857e5167237dcdb1d03ad2c210946cbc
pete-cleary,localization-smartling,2020-03-22T19:29:06Z,first commit,ce695b7b6c2760d648bec67cafb0272092f52b59
pete-cleary,dukpt-simulator,2020-09-10T17:11:31Z,Added Jenkinsfile and updated POM for version reference (#2),fa6232c1797db75a07eae26f52786da541fe4b8e
david-marginian,message-routing,2020-06-30T20:48:32Z,Initial interface,b1e3104c93426ac537b85e411a7cfe9f5cb45743
david-marginian,isv-pidgin-test,2017-12-13T16:08:12Z,initial commit,ec056afa1e298d69bf5fdc7d43c084d933624b9c
david-marginian,isv-cloud-test,2018-07-26T14:27:58Z,Initial commit,2f4e8266a367885f8822ef1088d9992a1a0037c8
david-marginian,remote-pay-feature,2017-11-20T17:10:47Z,remote-pay - SEMI-1615 and SEMI-1617,aa5ac6c11b2f46820eccc891419dffc4cec52642
david-marginian,server-load-testing,2018-02-07T13:11:47Z,supportserver - Send backwards compatible message in addition to new …,b0271b35b7c7967f5c8d417ad17f581fca8e0da0
david-marginian,android-build,2020-04-01T18:11:45Z,Add ANDROIDX_PREFERENCE to versions.gradle,d1396b9e0bd253b1c7b171a4176f391ac35ac8a5
